city,iso_country_code,n_open_pre_pandemic,n_open_post_pandemic,delta,percentage_change,diversity_pre_pandemic_top_category,diversity_post_pandemic_top_category,diversity_pre_pandemic_sub_category,diversity_post_pandemic_sub_category,country,name,lat,lng
London,GB,65415.0,65138.0,-277.0,-0.4234502789879997,0.8617488111127745,0.8616745479007267,0.9248429944238807,0.9230463018447983,GB,London,51.50853,-0.12574
Istanbul,TR,58286.0,58417.0,131.0,0.22475380022646949,0.8842110261802458,0.8838268102773635,0.91995715324186,0.9201729474111215,TR,Istanbul,41.01384,28.94966
Los Angeles,US,36475.0,30430.0,-6045.0,-16.572995202193283,0.8605656719818516,0.8675066882840099,0.914875731226233,0.9216847757432433,US,Los Angeles,34.05223,-118.24368
Berlin,DE,35687.0,35741.0,54.0,0.15131560512231346,0.8106662990342482,0.8109264292412741,0.9439286451170461,0.9439864240371298,DE,Berlin,52.52437,13.41053
Warsaw,PL,35664.0,35670.0,6.0,0.016823687752355317,0.9009221922555788,0.9009060596507766,0.8940881097263786,0.894135903698188,PL,Warsaw,52.22977,21.01178
Paris,FR,34823.0,34829.0,6.0,0.017229991672170694,0.8256505250613968,0.8259337797666553,0.8576619479535741,0.8578442067360781,FR,Paris,48.85341,2.3488
Houston,US,32799.0,28879.0,-3920.0,-11.951583889752735,0.8635074743705489,0.8715151431886883,0.923474813789501,0.9302235645774962,US,Houston,37.32616,-91.95599
Madrid,ES,29045.0,29097.0,52.0,0.17903253572043382,0.8749095509870192,0.8744066502892982,0.9110489890971819,0.9112515669101184,ES,Madrid,40.4165,-3.70256
Chicago,US,25289.0,20702.0,-4587.0,-18.138321009134405,0.8088575203863317,0.8252911446989529,0.891278155345963,0.9063992675660439,US,Chicago,41.85003,-87.65005
Toronto,CA,22017.0,16625.0,-5392.0,-24.49016668937639,0.8070832206598161,0.8419719110373953,0.8889114922865438,0.9157606573509327,CA,Toronto,43.70011,-79.4163
Barcelona,ES,20465.0,20476.0,11.0,0.0537503053994625,0.8694053340459769,0.8691977249338378,0.9015944371100455,0.9016896937368473,ES,Barcelona,41.38879,2.15899
Hamburg,DE,19834.0,19822.0,-12.0,-0.06050216799435314,0.858310490126434,0.8581785824419514,0.9519393922024341,0.9518920429111563,DE,Hamburg,53.55073,9.99302
Rome,IT,19133.0,19118.0,-15.0,-0.0783985783724455,0.8680487116281751,0.8679464565166723,0.8925703307312243,0.8924532371530329,IT,Rome,41.89193,12.51133
Kraków,PL,18087.0,18119.0,32.0,0.17692265162824128,0.8667141515980905,0.8663081606479056,0.8484368687733352,0.848864953631021,PL,Kraków,50.06143,19.93658
Las Vegas,US,17458.0,15016.0,-2442.0,-13.987856570053845,0.8510799878433672,0.8576717156113216,0.9187162849055688,0.9271573633296404,US,Las Vegas,35.59393,-105.2239
Miami,US,17392.0,15070.0,-2322.0,-13.350965961361547,0.8813093675654998,0.8926620341524996,0.9286053719008265,0.9380617051424349,US,Miami,25.77427,-80.19366
San Francisco,US,16774.0,13273.0,-3501.0,-20.87158697984977,0.8081765042658673,0.8227105762456668,0.8849961797114801,0.8952461849546506,US,San Francisco,37.77493,-122.41942
Vienna,AT,15683.0,15682.0,-1.0,-0.0063763310591085885,0.8825484982427115,0.8825729005223557,0.9128733152054507,0.9128991036484246,AT,Vienna,48.20849,16.37208
Dallas,US,15477.0,13555.0,-1922.0,-12.418427343800479,0.8687122175331449,0.8755958272654776,0.9255501999656572,0.9325836713286444,US,Dallas,33.92371,-84.84077
Munich,DE,13846.0,13853.0,7.0,0.05055611729019212,0.8441473968132442,0.8443457533333485,0.947028382264302,0.9470665355110091,DE,Munich,48.13743,11.57549
Prague,CZ,13295.0,13300.0,5.0,0.037608123354644606,0.8531171080753368,0.8532358188704845,0.8679401813513224,0.8680432841381106,CZ,Prague,50.08804,14.42076
Lisbon,PT,13244.0,13241.0,-3.0,-0.02265176683781335,0.8990810538733951,0.8990677213360098,0.9109851828626048,0.9109426627030874,PT,Lisbon,38.71667,-9.13333
Milan,IT,11986.0,11997.0,11.0,0.09177373602536291,0.8371428327208262,0.837237594247552,0.8778915015209829,0.8781253422692609,IT,Milan,45.46427,9.18951
Orlando,US,11939.0,10586.0,-1353.0,-11.33260742105704,0.8547998214149438,0.8603775764003259,0.9213213864093954,0.9278674188449807,US,Orlando,28.53834,-81.37924
Vancouver,CA,10793.0,7946.0,-2847.0,-26.378208097841195,0.8281245357656508,0.8579952180363692,0.9062425666922693,0.926779367250397,CA,Vancouver,49.24966,-123.11934
Stockholm,SE,10392.0,10384.0,-8.0,-0.07698229407236336,0.8986117741129702,0.8986287499910969,0.9253946566822988,0.9252888228114459,SE,Stockholm,59.32938,18.06871
Atlanta,US,9559.0,8145.0,-1414.0,-14.792342295219166,0.8539059608995208,0.8668927560284153,0.9146783047837026,0.9250565292316923,US,Atlanta,33.749,-84.38798
San Jose,US,8837.0,7593.0,-1244.0,-14.077175512051602,0.8302712387397577,0.8424406580058792,0.9107455365724721,0.9202668744519712,US,San Jose,37.33939,-121.89496
Amsterdam,NL,8515.0,8527.0,12.0,0.14092777451556077,0.8389285599761949,0.8388864164244101,0.8952500460670526,0.8954776034579506,NL,Amsterdam,52.37403,4.88969
Honolulu,US,7367.0,6109.0,-1258.0,-17.07615040043437,0.8236815021271564,0.838479576073675,0.9025174353225912,0.9148796163753231,US,Honolulu,21.30694,-157.85833
Naples,IT,7365.0,7360.0,-5.0,-0.0678886625933469,0.8832687953195999,0.8832544822188091,0.914767341715631,0.9147439873732078,IT,Naples,40.85216,14.26811
Edinburgh,GB,7085.0,7108.0,23.0,0.32462949894142556,0.8745137604718188,0.8744904170053859,0.931609026671694,0.9299455098073219,GB,Edinburgh,55.95206,-3.19648
Antalya,TR,6707.0,6714.0,7.0,0.10436857015058894,0.8841844991965895,0.884283295483213,0.8802249433106576,0.8805201342301955,TR,Antalya,36.90812,30.69556
Zürich,CH,6151.0,6157.0,6.0,0.09754511461550967,0.8805303350214528,0.8805724519488943,0.9035503341223782,0.9037774540035559,CH,Zürich,47.36667,8.55
Florence,IT,6092.0,6084.0,-8.0,-0.13131976362442546,0.8775867859380072,0.8774142608348343,0.9059059201714904,0.9057745124716553,IT,Florence,43.77925,11.24626
Boston,US,6068.0,5087.0,-981.0,-16.16677653263019,0.8005217402073359,0.8131616227165697,0.8853496373810225,0.8977047415946648,US,Boston,30.79186,-83.78989
Copenhagen,DK,5864.0,5867.0,3.0,0.05115961800818554,0.8799979503581871,0.8801761005975041,0.9165861250928466,0.91666706222064,DK,Copenhagen,55.67594,12.56553
Porto,PT,5480.0,5474.0,-6.0,-0.10948905109489052,0.9207357877350951,0.9207177811633939,0.9321223485961949,0.9322499879684809,PT,Porto,41.14961,-8.61099
Moscow,RU,4642.0,4342.0,-300.0,-6.462731581214993,0.7577940282986523,0.7432559676027599,0.7869783244642096,0.7703536695874452,RU,Moscow,55.75222,37.61556
Muğla,TR,4212.0,4218.0,6.0,0.14245014245014245,0.8259875010033289,0.8261641891948098,0.8017441448934748,0.8023060582856627,TR,Muğla,37.21807,28.3665
Nice,FR,3719.0,3725.0,6.0,0.16133369185264856,0.8525197923701758,0.8527164722309806,0.8917089580880319,0.8919481530055293,FR,Nice,43.70313,7.26608
London,CA,3442.0,2984.0,-458.0,-13.306217315514235,0.8747448688951066,0.8860229196871443,0.9355499472979737,0.9449775229856643,CA,London,42.98339,-81.23304
Florence,US,3275.0,2984.0,-291.0,-8.885496183206106,0.8971572285997319,0.8967215228313292,0.9442766781479659,0.94501759084226,US,Florence,34.79981,-87.67725
Naples,US,3270.0,2929.0,-341.0,-10.428134556574923,0.8929770221361839,0.9007447335896868,0.9304250878932028,0.9386565925124768,US,Naples,26.14234,-81.79596
Brussels,BE,3157.0,3155.0,-2.0,-0.06335128286347799,0.8229765089550158,0.8231283325087089,0.8713678378094627,0.8712030850661626,BE,Brussels,50.85045,4.34878
Singapore,SG,2244.0,2264.0,20.0,0.8912655971479502,0.8217603845946092,0.8190747168774738,0.8865880414716527,0.8832470751289191,SG,Singapore,1.28967,103.85007
Saint Petersburg,RU,1889.0,1801.0,-88.0,-4.658549497088407,0.7404653336961555,0.7265758026341711,0.760566664265911,0.7478281083277505,RU,Saint Petersburg,59.93863,30.31413
Vancouver,US,1720.0,1534.0,-186.0,-10.813953488372093,0.8388662790697674,0.8408095340895376,0.926669994257389,0.9301368962068706,US,Vancouver,45.63873,-122.66149
Dublin,US,1689.0,1528.0,-161.0,-9.532267613972765,0.8619728322538376,0.8707589224527836,0.9306920128740142,0.9360249717591907,US,Dublin,32.54044,-82.90375
Melbourne,US,1532.0,1359.0,-173.0,-11.29242819843342,0.8976763765517524,0.9020310458551472,0.9435742591038223,0.9467548160534255,US,Melbourne,36.05951,-91.90848
Venice,US,1500.0,1226.0,-274.0,-18.266666666666666,0.8810133333333333,0.8890728080283365,0.9266967129379244,0.9345873721626832,US,Venice,27.09978,-82.45426
Kuala Lumpur,MY,1474.0,1497.0,23.0,1.5603799185888738,0.831914192452073,0.8312889417222331,0.8890741187365259,0.8898268592406366,MY,Kuala Lumpur,3.1412,101.68653
Dubai,AE,1429.0,1499.0,70.0,4.89853044086774,0.8019878151320174,0.801878592844418,0.894854706639093,0.8935518942804209,AE,Dubai,25.07725,55.30927
Mumbai,IN,1418.0,1455.0,37.0,2.609308885754584,0.7882145933504549,0.7885310754478573,0.8648377400379167,0.8639161086902611,IN,Mumbai,19.07283,72.88261
Bangkok,TH,1416.0,1437.0,21.0,1.4830508474576272,0.803457858533627,0.804381082718433,0.88296685977848,0.8841837335088323,TH,Bangkok,13.75398,100.50144
Seoul,KR,1293.0,1329.0,36.0,2.784222737819025,0.7603952270809147,0.7586359958805169,0.8423667448435834,0.843462471995611,KR,Seoul,37.566,126.9784
Düsseldorf,DE,1251.0,1249.0,-2.0,-0.15987210231814547,0.7760812932387903,0.77644950227596,0.90043125,0.9014052296283996,DE,Düsseldorf,51.22172,6.77616
Budapest,HU,1216.0,1233.0,17.0,1.3980263157894737,0.8518519520429363,0.8535982303364689,0.9153339248614958,0.9161534418784849,HU,Budapest,47.49835,19.04045
Riyadh,SA,1205.0,1231.0,26.0,2.1576763485477177,0.6444090149962982,0.6450383769939969,0.8248838690793892,0.8254693106131146,SA,Riyadh,24.68773,46.72185
Rome,US,1141.0,1051.0,-90.0,-7.887817703768624,0.8929049582872781,0.8965554077897812,0.9364791740833036,0.941018325697626,US,Rome,34.25704,-85.16467
Paris,US,1112.0,1004.0,-108.0,-9.712230215827338,0.904021207494436,0.9024936112125204,0.947261519655342,0.9471186057039385,US,Paris,35.29203,-93.72992
Beijing,CN,1034.0,1045.0,11.0,1.0638297872340425,0.8059890231173,0.805593278542158,0.8567131456962315,0.8565225155101761,CN,Beijing,39.9075,116.39723
Shanghai,CN,1022.0,1036.0,14.0,1.36986301369863,0.8214122954492362,0.8233963417361101,0.8783705638382207,0.8792169168617046,CN,Shanghai,31.22222,121.45806
São Paulo,BR,1018.0,1009.0,-9.0,-0.8840864440078585,0.8273956793435258,0.8383831934787114,0.8507455197409304,0.8625914833888463,BR,São Paulo,-23.5475,-46.63611
Geneva,US,1005.0,884.0,-121.0,-12.039800995024876,0.8928076037721838,0.9022824061751398,0.9368847104789231,0.9452254993560768,US,Geneva,31.03296,-85.86382
Chennai,IN,921.0,924.0,3.0,0.32573289902280134,0.8341002144437725,0.8342164689567286,0.8945877409839892,0.8941408519330597,IN,Chennai,13.08784,80.27847
Berlin,US,891.0,782.0,-109.0,-12.2334455667789,0.9084938422761094,0.9159804030585881,0.9479682975156226,0.9513948737591369,US,Berlin,38.32262,-75.21769
Dublin,IE,854.0,854.0,0.0,0.0,0.8605789534303375,0.8612096814001065,0.9276335635033374,0.9280339386493646,IE,Dublin,53.33306,-6.24889
Auckland,NZ,811.0,815.0,4.0,0.4932182490752158,0.8193322092498188,0.8205020889005985,0.8800053518133069,0.8831886785351349,NZ,Auckland,-36.84853,174.76349
Lima,US,792.0,739.0,-53.0,-6.691919191919192,0.8962191358024691,0.8988703968534446,0.9485626773568758,0.9515469387755102,US,Lima,39.91733,-75.44047
Kolkata,IN,787.0,786.0,-1.0,-0.12706480304955528,0.8274485807329718,0.8267939578760626,0.888972486514501,0.8890313307305324,IN,Kolkata,22.56263,88.36304
Tokyo,JP,777.0,786.0,9.0,1.1583011583011582,0.7420382323857226,0.7417140933253048,0.8887729428269969,0.8918995914508997,JP,Tokyo,35.6895,139.69171
Warsaw,US,769.0,701.0,-68.0,-8.84265279583875,0.8893484690400618,0.8965386720824744,0.9380397420876623,0.9428171964574624,US,Warsaw,38.7834,-84.90162
Medina,US,767.0,702.0,-65.0,-8.47457627118644,0.9088322236179837,0.9089414858645628,0.9499835485398326,0.9503851931975242,US,Medina,35.80285,-88.77478
Lagos,PT,745.0,745.0,0.0,0.0,0.8887599657673078,0.8887599657673078,0.8887235579223989,0.8887235579223989,PT,Lagos,37.10202,-8.67422
Pune,IN,711.0,763.0,52.0,7.313642756680731,0.8310159221872089,0.8292952733656378,0.8952862492359368,0.8866119631928185,IN,Pune,18.51957,73.85535
Jakarta,ID,664.0,660.0,-4.0,-0.6024096385542169,0.7635542168674698,0.7651469237832873,0.8579483597038757,0.863783287419651,ID,Jakarta,-6.21462,106.84513
Vienna,US,660.0,582.0,-78.0,-11.818181818181818,0.8615794306703397,0.8751608979582197,0.9275946181609475,0.9362945194910856,US,Vienna,32.09156,-83.79545
Boston,GB,655.0,649.0,-6.0,-0.9160305343511451,0.9329386399393975,0.9318686327905205,0.9269857787027402,0.9207899636763225,GB,Boston,52.97633,-0.02664
Abu Dhabi,AE,631.0,655.0,24.0,3.8034865293185423,0.8203515663261847,0.8204650078666744,0.908411421510394,0.9088607889983101,AE,Abu Dhabi,24.45118,54.39696
Buenos Aires,AR,555.0,543.0,-12.0,-2.1621621621621623,0.7794691989286584,0.7772453018324634,0.8660725590455319,0.8647070195252484,AR,Buenos Aires,-34.61315,-58.37723
Hamburg,US,540.0,490.0,-50.0,-9.25925925925926,0.8808161865569273,0.8930778842149104,0.9288286187447877,0.939798784241305,US,Hamburg,33.22818,-91.79763
Delhi,IN,536.0,542.0,6.0,1.1194029850746268,0.8233807640899977,0.8251930120777222,0.8571090443305859,0.8568102286188913,IN,Delhi,28.65195,77.23149
London,US,536.0,512.0,-24.0,-4.477611940298507,0.9044678658944085,0.899993896484375,0.94696,0.9446527777777778,US,London,35.32897,-93.25296
Johannesburg,ZA,520.0,526.0,6.0,1.153846153846154,0.8705103550295858,0.8728548916422096,0.9158357988165681,0.919414766730761,ZA,Johannesburg,-26.20227,28.04363
Milan,US,496.0,461.0,-35.0,-7.056451612903227,0.8995512486992716,0.904870577495871,0.9380641975308642,0.9406872824830116,US,Milan,39.12117,-85.13135
Cape Town,ZA,478.0,491.0,13.0,2.7196652719665275,0.8361285691777105,0.8360675457626274,0.9095341468111553,0.9123489615523414,ZA,Cape Town,-33.92584,18.42322
Cairo,EG,471.0,472.0,1.0,0.21231422505307856,0.8015470539710874,0.7991238149956909,0.8654216308076504,0.8652326917552428,EG,Cairo,30.06263,31.24967
Melbourne,AU,469.0,484.0,15.0,3.1982942430703627,0.8443951427753102,0.8487552079775972,0.9183446156364083,0.9211802472508709,AU,Melbourne,-37.814,144.96332
Lima,PE,467.0,466.0,-1.0,-0.21413276231263384,0.7575255973478717,0.7558989850614305,0.8607770222248715,0.8602018825176371,PE,Lima,-12.04318,-77.02824
Sydney,CA,453.0,391.0,-62.0,-13.686534216335541,0.9021631604851639,0.9037225031233443,0.9506455680466016,0.9530386740331491,CA,Sydney,46.1351,-60.1831
Johor Bahru,MY,444.0,451.0,7.0,1.5765765765765765,0.772329762194627,0.7679116621845516,0.8235025566106647,0.821303730070157,MY,Johor Bahru,1.4655,103.7578
Sydney,AU,424.0,433.0,9.0,2.1226415094339623,0.8353395336418654,0.8324755052296402,0.913058472766109,0.9120748417240478,AU,Sydney,-33.86785,151.20732
Mexico City,MX,396.0,410.0,14.0,3.535353535353535,0.7198755229058258,0.7330398572278406,0.8090373431282522,0.8202379535990482,MX,Mexico City,19.42847,-99.12766
Hangzhou,CN,377.0,378.0,1.0,0.2652519893899204,0.8341436300825307,0.82870020436158,0.8915984774395092,0.8868872651941435,CN,Hangzhou,30.29365,120.16142
Shenzhen,CN,375.0,387.0,12.0,3.2,0.8224568888888888,0.8214383483898536,0.8657066666666666,0.8633962969639912,CN,Shenzhen,22.54554,114.0683
Moscow,US,361.0,310.0,-51.0,-14.127423822714682,0.8880379984806747,0.88894901144641,0.9458030047689053,0.9472981340067258,US,Moscow,41.33675,-75.51852
Osaka,JP,345.0,345.0,0.0,0.0,0.7294265910522999,0.7397941608905692,0.8613316530140727,0.8621550094517958,JP,Osaka,34.69374,135.50218
Chengdu,CN,333.0,347.0,14.0,4.2042042042042045,0.7842076310544779,0.7808552516838443,0.8415262108955803,0.8473785182170768,CN,Chengdu,30.66667,104.06667
Jaipur,IN,331.0,334.0,3.0,0.906344410876133,0.8513795967543195,0.8501918319050522,0.8889477094951671,0.8884147871920829,IN,Jaipur,26.91962,75.78781
Amsterdam,US,326.0,299.0,-27.0,-8.282208588957054,0.8937295344198125,0.8990503461929956,0.9387626857699437,0.9438911523565213,US,Amsterdam,42.93869,-74.18819
Guangzhou,CN,314.0,324.0,10.0,3.1847133757961785,0.8337660757028682,0.8296753543667124,0.8630167552436204,0.8574150281969212,CN,Guangzhou,23.11667,113.25
Casablanca,MA,295.0,296.0,1.0,0.3389830508474576,0.8432289571962079,0.8434304236669101,0.8694742889974145,0.8698182980277576,MA,Casablanca,33.58831,-7.61138
Amman,JO,271.0,272.0,1.0,0.36900369003690037,0.8454950232159149,0.8487781141868512,0.9049441047916014,0.9036007785467128,JO,Amman,31.95522,35.94503
Bucharest,RO,267.0,260.0,-7.0,-2.6217228464419478,0.8060710628568222,0.8034023668639053,0.8726170938012877,0.869112426035503,RO,Bucharest,44.43225,26.10626
Durban,ZA,267.0,278.0,11.0,4.119850187265917,0.8406907096466496,0.8459448268723151,0.8991569526855475,0.9025671549091662,ZA,Durban,-29.8579,31.0292
Quito,EC,256.0,270.0,14.0,5.46875,0.828582763671875,0.8327572016460905,0.8453369140625,0.8488888888888889,EC,Quito,-0.22985,-78.52495
Taipei,TW,253.0,254.0,1.0,0.3952569169960474,0.8035120061241388,0.7996775993551987,0.8749394616382071,0.8724037448074896,TW,Taipei,25.04776,121.53185
Sofia,BG,250.0,260.0,10.0,4.0,0.8058879999999999,0.8059467455621302,0.905472,0.9044378698224852,BG,Sofia,42.69751,23.32415
Cairo,US,245.0,228.0,-17.0,-6.938775510204081,0.880932944606414,0.882694675284703,0.927670052323792,0.9283552865788537,US,Cairo,30.87751,-84.20214
Lisbon,US,235.0,213.0,-22.0,-9.361702127659575,0.912883657763694,0.9134430999140382,0.9481404958677686,0.9467942728718972,US,Lisbon,39.86089,-83.6352
Manila,PH,230.0,233.0,3.0,1.3043478260869565,0.8416257088846881,0.8368914513068946,0.8931190926275993,0.8897935124979277,PH,Manila,14.6042,120.9822
Tianjin,CN,222.0,225.0,3.0,1.3513513513513513,0.8233097962827692,0.8193185185185186,0.8733463192922652,0.8673975308641976,CN,Tianjin,39.14222,117.17667
Dammam,SA,204.0,207.0,3.0,1.4705882352941175,0.6388408304498272,0.6067352797031434,0.8188196847366397,0.8024924735699783,SA,Dammam,26.43442,50.10326
Beirut,LB,203.0,205.0,2.0,0.9852216748768473,0.7916717221966075,0.7916716240333135,0.8689849304763523,0.8707198096371207,LB,Beirut,33.89332,35.50157
Accra,GH,198.0,195.0,-3.0,-1.5151515151515151,0.4094990307111518,0.38490466798159095,0.41761044791347823,0.3933201840894146,GH,Accra,5.55602,-0.1969
Delhi,US,194.0,174.0,-20.0,-10.309278350515463,0.8992454033372304,0.8928524243625313,0.9371604938271605,0.931328125,US,Delhi,32.45764,-91.49317
Edinburgh,US,176.0,159.0,-17.0,-9.659090909090908,0.8444602272727273,0.8491752699655868,0.9374638324138729,0.9411819149428479,US,Edinburgh,39.35422,-85.96666
Cancún,MX,173.0,173.0,0.0,0.0,0.6913027498412911,0.6809449029369508,0.75986501386615,0.7555882254669385,MX,Cancún,21.17429,-86.84656
Cebu City,PH,171.0,175.0,4.0,2.3391812865497075,0.8248007934065182,0.8293224489795918,0.8739099210013337,0.879934693877551,PH,Cebu City,10.31672,123.89071
Ho Chi Minh City,VN,136.0,138.0,2.0,1.4705882352941175,0.7756271626297578,0.7725267800882167,0.8320717993079585,0.8298676748582231,VN,Ho Chi Minh City,10.82302,106.62965
Qingdao,CN,134.0,134.0,0.0,0.0,0.8041880151481399,0.8040766317665404,0.8477389173535308,0.8413900646023613,CN,Qingdao,36.06488,120.38042
Phuket,TH,131.0,131.0,0.0,0.0,0.819649204591807,0.8232620476662199,0.853563312161296,0.8560107219858982,TH,Phuket,7.89059,98.3981
Montevideo,UY,130.0,132.0,2.0,1.5384615384615385,0.7407100591715976,0.734504132231405,0.8089940828402367,0.8030303030303031,UY,Montevideo,-34.90328,-56.18816
Kyoto,JP,126.0,127.0,1.0,0.7936507936507936,0.7403628117913832,0.7395374790749581,0.8340891912320485,0.8371256742513484,JP,Kyoto,35.02107,135.75385
Xiamen,CN,118.0,117.0,-1.0,-0.847457627118644,0.7821028440103418,0.7908539703411498,0.8356794024705545,0.8395061728395061,CN,Xiamen,24.47979,118.08187
Fukuoka,JP,111.0,118.0,7.0,6.306306306306306,0.7311094878662445,0.7279517380063201,0.8333739144549955,0.8305084745762712,JP,Fukuoka,33.6,130.41667
Tel Aviv,IL,108.0,111.0,3.0,2.7777777777777777,0.7424554183813442,0.753997240483727,0.8170438957475995,0.827854881908936,IL,Tel Aviv,32.08088,34.78057
Dalian,CN,101.0,104.0,3.0,2.9702970297029703,0.8177629644152534,0.8202662721893491,0.8944221154788746,0.8931213017751479,CN,Dalian,38.91222,121.60222
